sample_index,delay_year,task_id,run_type,comparison_type,tree_spec,decision_times_optimal,decision_times_delayed,ra,eis,pref,tech_chg,tech_scale,bs_premium,growth,baseline_num,dam_func,tip_on,d_unc,t_unc,no_free_lunch,period_len,emissions_time_step,damage_file_tag,m_optimal_period0,m_delayed_period0,mitigation_foregone,u_optimal,u_delayed,utility_loss,utility_loss_pct,delta_c,delta_c_pct,delta_c_billions,delta_c_5yr,delta_c_5yr_pct,delta_c_5yr_billions,delta_c_5yr_total_billions,year0_cons_delayed,delta_emission_gton,deadweight_per_ton,carbon_price_delayed,carbon_price_optimal,reentry_year,baseline_reentry_price,delayed_reentry_price,reentry_price_increase,reentry_price_pct_increase,reentry_price_annualized_increase,baseline_cumulative_emissions_at_reentry,cumulative_emissions_at_reentry,extra_cumulative_emissions,ppm_at_reentry,temperature_at_reentry,peak_post_delay_mitigation,peak_catchup_mitigation,welfare_loss
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,0|5|35|75|125|175|225,10.0,0.833,0.002,0.0,1.5,10000.0,0.015,2,0,1,1,1,False,5.0,nan,,0.996770605259348,0.0,0.996770605259348,24.33571683155861,24.26237087428073,0.07334595727787985,0.3013922202725693,0.17642285294519203,17.6422852945192,14721.82389569372,0.17642285294519203,17.6422852945192,14721.82389569372,73609.11947846861,1.0,41.92596185721523,351.13860824066404,0.0,261.9094156280262,2030,221.7941786409557,228.5327408716003,6.738562230644618,3.038205182811908,0.6003883003201427,2.7306907176971436,2.9438445568084717,0.21315383911132812,447.7808445891872,1.5307991695404053,0.7911606526449143,0.7911606526449143,0.07334595727787985
tech_grid_006,5,19,technology_grid,same_grid,default,0|5|35|75|125|175|225,0|5|35|75|125|175|225,10.0,0.833,0.002,3.0,0.0,10000.0,0.015,2,0,1,1,1,False,5.0,nan,,0.993559417742573,0.0,0.993559417742573,24.387502927126366,24.33141956170112,0.056083365425244835,0.22996764200431102,0.13132067221410934,13.132067221410933,10958.216455103096,0.13132067221410934,13.132067221410933,10958.216455103096,54791.08227551548,1.0,41.790893542966884,262.21541407906284,0.0,302.44911186104235,2030,200.35365250730905,211.9045265922194,11.550874084910362,5.765242579986894,1.1273423343495015,2.731377363204956,2.9438445568084717,0.21246719360351562,447.7808445891872,1.5307991695404053,0.8246780329494539,0.8246780329494539,0.056083365425244835
tech_grid_000,10,2,technology_grid,same_grid,default,0|10|35|75|125|175|225,0|10|35|75|125|175|225,10.0,0.833,0.002,0.0,0.0,10000.0,0.015,2,0,1,1,1,False,5.0,nan,,0.9992562291348646,0.0,0.9992562291348646,24.262426285912266,24.150859156600106,0.11156712931216006,0.4598350057716214,0.2846221916518453,28.462219165184532,23750.651983882035,0.2846221916518453,28.462219165184532,23750.651983882035,118753.25991941018,1.0,42.03051166159993,565.0812004171054,0.0,263.61296492898595,2035,214.21386564191073,226.66105274818676,12.447187106276033,5.8106355855989715,0.5664065883217217,2.7303214073181152,3.162196159362793,0.43187475204467773,465.5475328261715,1.6443420028686524,0.6817438022547833,0.6817438022547833,0.11156712931216006
tech_grid_000,15,3,technology_grid,same_grid,default,0|15|35|75|125|175|225,0|15|35|75|125|175|225,10.0,0.833,0.002,0.0,0.0,10000.0,0.015,2,0,1,1,1,False,5.0,nan,,0.9990089991351907,0.0,0.9990089991351907,24.26102772013934,24.102501336318824,0.1585263838205151,0.6534199031021289,0.4336575863404289,43.36575863404289,36187.09543892666,0.4336575863404289,43.36575863404289,36187.09543892666,180935.4771946333,1.0,42.02011272378857,861.1851109680699,0.0,263.4430750464564,2040,213.30460275237112,227.3348000367757,14.03019728440458,6.577540804730065,0.4255871736529526,2.7306466102600098,3.3824894428253174,0.6518428325653076,481.5023082111194,1.758894510269165,0.6029675115065576,0.6029675115065576,0.1585263838205151
tech_grid_000,5,1,technology_grid,same_grid,default,0|5|35|75|125|175|225,0|5|35|75|125|175|225,10.0,0.833,0.002,0.0,0.0,10000.0,0.015,2,0,1,1,1,False,5.0,nan,,0.9998599329725546,0.0,0.9998599329725546,24.263638681682053,24.195676851000265,0.06796183068178863,0.28009743952005317,0.16287403466222125,16.287403466222123,13591.225940684926,0.16287403466222125,16.287403466222123,13591.225940684926,67956.12970342464,1.0,42.05590452926526,323.1704582938469,0.0,264.02823115034755,2030,215.3267496741896,222.65470355624097,7.327953882051361,3.403178607924594,0.6715552172708472,2.730030059814453,2.9438445568084717,0.21381449699401855,447.7808445891872,1.5307991695404053,0.75291086723066,0.75291086723066,0.06796183068178863
tech_grid_002,5,7,technology_grid,same_grid,default,0|5|35|75|125|175|225,0|5|35|75|125|175|225,10.0,0.833,0.002,0.0,3.0,10000.0,0.015,2,0,1,1,1,False,5.0,nan,,0.996389282157459,0.0,0.996389282157459,24.386244540027242,24.314175865804316,0.07206867422292618,0.29553002351236846,0.17256551733436512,17.256551733436513,14399.943738893266,0.17256551733436512,17.256551733436513,14399.943738893266,71999.71869446633,1.0,41.90992272269348,343.5927055789094,0.0,261.64895513326525,2030,215.26262947359834,229.24826014988065,13.985630676282312,6.497008194354343,1.2668920696596864,2.7307722568511963,2.9438445568084717,0.2130722999572754,447.7808445891872,1.5307991695404053,0.8240579514293598,0.8240579514293598,0.07206867422292618
tech_grid_002,10,8,technology_grid,same_grid,default,0|10|35|75|125|175|225,0|10|35|75|125|175|225,10.0,0.833,0.002,0.0,3.0,10000.0,0.015,2,0,1,1,1,False,5.0,nan,,0.9965807370167012,0.0,0.9965807370167012,24.395930871541882,24.262486603099944,0.1334442684419379,0.5469939603641119,0.3487965380400464,34.87965380400464,29105.759955307072,0.3487965380400464,34.87965380400464,29105.759955307072,145528.79977653536,1.0,41.917975657926135,694.3503234227285,0.0,261.7796979319465,2035,193.30698966715772,235.33401142535385,42.02702175819613,21.741077149129282,1.986740984494073,2.731477737426758,3.162196159362793,0.43071842193603516,465.5475328261715,1.6443420028686524,0.7549095120856089,0.7549095120856089,0.1334442684419379
tech_grid_002,15,9,technology_grid,same_grid,default,0|15|35|75|125|175|225,0|15|35|75|125|175|225,10.0,0.833,0.002,0.0,3.0,10000.0,0.015,2,0,1,1,1,False,5.0,nan,,0.99510639012984,0.0,0.99510639012984,24.400047313924116,24.206778849318166,0.19326846460594993,0.7920823354127656,0.5527013821223958,55.27013821223959,46120.85270517773,0.5527013821223958,55.27013821223959,46120.85270517773,230604.26352588864,1.0,41.855961979937746,1101.894461947481,0.0,260.77440295729207,2040,175.7059374499754,244.0080442924551,68.3021068424797,38.872964587167544,2.213402901010797,2.7331931591033936,3.3824894428253174,0.6492962837219238,481.5023082111194,1.758894510269165,0.6904555497000388,0.6904555497000388,0.19326846460594993
tech_grid_003,5,10,technology_grid,same_grid,default,0|5|35|75|125|175|225,0|5|35|75|125|175|225,10.0,0.833,0.002,1.5,0.0,10000.0,0.015,2,0,1,1,1,False,5.0,nan,,0.997970193408235,0.0,0.997970193408235,24.337642963330158,24.277662836167647,0.05998012716251111,0.24645002497934557,0.14158281681871845,14.158281681871845,11814.553846428093,0.14158281681871845,14.158281681871845,11814.553846428093,59072.76923214046,1.0,41.976418689217724,281.4569278503704,0.0,283.3537987202411,2030,209.07034845675665,216.61022462010362,7.539876163346975,3.6063823583794785,0.7110912864967789,2.7304341793060303,2.9438445568084717,0.2134103775024414,447.7808445891872,1.5307991695404053,0.7833464576166784,0.7833464576166784,0.05998012716251111
tech_grid_003,10,11,technology_grid,same_grid,default,0|10|35|75|125|175|225,0|10|35|75|125|175|225,10.0,0.833,0.002,1.5,0.0,10000.0,0.015,2,0,1,1,1,False,5.0,nan,,0.9737117686847235,0.0,0.9737117686847235,24.340345239935854,24.242935138790248,0.09741010114560567,0.40020016226303284,0.2423956782180789,24.23956782180789,20227.008169471108,0.2423956782180789,24.23956782180789,20227.008169471108,101135.04084735554,1.0,40.95606577721603,493.8708781135772,0.0,265.92861487461613,2035,197.86613646867625,210.13083366204643,12.264697193370182,6.198482171966692,0.6032083237462293,2.741361618041992,3.162196159362793,0.4208345413208008,465.5475328261715,1.6443420028686524,0.7219765807504182,0.7219765807504182,0.09741010114560567
